District,Latitude,Longitude,Address,ConvertedAddress
豊島区,35.73246956,139.70650786,東京都豊島区池袋2丁目15-1,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−15−1"
豊島区,35.73242789,139.70638564,東京都豊島区池袋2丁目15-2,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−15−2"
豊島区,35.73273065,139.70702447,東京都豊島区池袋2丁目11-4,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−11−4"
豊島区,35.73228345,139.70593569,東京都豊島区池袋2丁目18-2,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−18−2"
豊島区,35.73274177,139.70748554,東京都豊島区池袋2丁目11-1,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−11−1"
豊島区,35.73268069,139.70831325,東京都豊島区池袋2丁目9-1,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−9−1"
豊島区,35.73273621,139.70734666,東京都豊島区池袋2丁目11-2,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−11−2"
豊島区,35.73274732,139.70695781,東京都豊島区池袋2丁目11-5,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−11−5"
豊島区,35.73219736,139.70613012,東京都豊島区池袋2丁目18-1,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−18−1"
豊島区,35.73256121,139.70658562,東京都豊島区池袋2丁目15-6,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−15−6"
豊島区,35.7324918,139.70744666,東京都豊島区池袋2丁目12-13,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−12−13"
豊島区,35.73274454,139.70712446,東京都豊島区池袋2丁目11-3,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−11−3"
豊島区,35.73286397,139.70726611,東京都豊島区池袋2丁目11-8,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−11−8"
豊島区,35.73248347,139.70732445,東京都豊島区池袋2丁目12-12,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−12−12"
豊島区,35.73241681,139.70744666,東京都豊島区池袋2丁目12-14,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−12−14"
豊島区,35.73249177,139.70612733,東京都豊島区池袋2丁目17-1,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−17−1"
豊島区,35.73231127,139.70768832,東京都豊島区池袋2丁目4-2,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−4−2"
豊島区,35.73283343,139.70749387,東京都豊島区池袋2丁目11-10,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−11−10"
豊島区,35.73267508,139.70614676,東京都豊島区池袋2丁目17-5,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−17−5"
豊島区,35.73259731,139.706094,東京都豊島区池袋2丁目17-4,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−17−4"
豊島区,35.7328612,139.70736332,東京都豊島区池袋2丁目11-9,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−11−9"
豊島区,35.73250843,139.70602456,東京都豊島区池袋2丁目17-2,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−17−2"
豊島区,35.73288619,139.70714112,東京都豊島区池袋2丁目11-6,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−11−6"
豊島区,35.73226406,139.70774109,東京都豊島区池袋2丁目4-1,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−4−1"
豊島区,35.7325362,139.7062301,東京都豊島区池袋2丁目17-9,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−17−9"
豊島区,35.73238343,139.70549683,東京都豊島区池袋2丁目19-2,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−19−2"
豊島区,35.73244738,139.70779941,東京都豊島区池袋2丁目4-6,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−4−6"
豊島区,35.73244176,139.70577458,東京都豊島区池袋2丁目19-8,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−19−8"
豊島区,35.73245292,139.7077022,東京都豊島区池袋2丁目4-3,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−4−3"
豊島区,35.7327834,139.70617176,東京都豊島区池袋2丁目17-6,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−17−6"
豊島区,35.73262232,139.7062551,東京都豊島区池袋2丁目17-8,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−17−8"
豊島区,35.73246954,139.70564126,東京都豊島区池袋2丁目19-7,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−19−7"
豊島区,35.73252792,139.7077383,東京都豊島区池袋2丁目4-5,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−4−5"
豊島区,35.73233899,139.70576904,東京都豊島区池袋2丁目19-9,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−19−9"
