District,Latitude,Longitude,Address,ConvertedAddress
墨田区,35.69431841,139.81417524,東京都墨田区江東橋3丁目5-10,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−5−10"
墨田区,35.69430172,139.81349197,東京都墨田区江東橋3丁目5-6,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−5−6"
墨田区,35.6930101,139.80995899,東京都墨田区江東橋1丁目1-9,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+1-chōme−1−9"
墨田区,35.6943073,139.81421412,東京都墨田区江東橋3丁目5-12,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−5−12"
墨田区,35.69404898,139.81404748,東京都墨田区江東橋3丁目5-16,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−5−16"
墨田区,35.69608488,139.81463624,東京都墨田区江東橋3丁目14-4,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−14−4"
墨田区,35.69432395,139.81386693,東京都墨田区江東橋3丁目5-8,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−5−8"
墨田区,35.69349062,139.81036448,東京都墨田区江東橋1丁目3-3,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+1-chōme−3−3"
墨田区,35.69644593,139.81393628,東京都墨田区江東橋3丁目14-5,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−14−5"
墨田区,35.69599879,139.81479734,東京都墨田区江東橋3丁目14-3,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−14−3"
墨田区,35.6940962,139.81362807,東京都墨田区江東橋3丁目5-19,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−5−19"
墨田区,35.69430173,139.81366417,東京都墨田区江東橋3丁目5-7,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−5−7"
墨田区,35.69610432,139.81445847,東京都墨田区江東橋3丁目14-6,"〒130-0022,+Tokyo,+Sumida+City,+Kotobashi,+3-chōme−14−6"
